Station;To;Departure;Arrival;Type;ID;Duration;Distance;Speed
Tb;Ot;2025-08-06 14:38:00;2025-08-06 14:44:00;Spr;71;6;8.1;81.0
Vg;Ht;2025-08-06 12:28:00;2025-08-06 12:32:00;Spr;72;4;4.2;63.0
Btl;Vg;2025-08-06 12:22:00;2025-08-06 12:28:00;Spr;72;6;8.0;80.0
Bet;Btl;2025-08-06 12:15:00;2025-08-06 12:22:00;Spr;72;7;9.9;84.9
Ehs;Bet;2025-08-06 12:09:00;2025-08-06 12:15:00;Spr;72;6;7.4;74.0
Ehv;Ehs;2025-08-06 12:06:00;2025-08-06 12:09:00;Spr;72;3;2.6;52.0
Vg;Ht;2025-08-06 12:59:00;2025-08-06 13:03:00;Spr;73;4;4.2;63.0
Btl;Vg;2025-08-06 12:53:00;2025-08-06 12:59:00;Spr;73;6;8.0;80.0
Bet;Btl;2025-08-06 12:45:00;2025-08-06 12:51:00;Spr;73;6;9.9;99.0
Ehs;Bet;2025-08-06 12:39:00;2025-08-06 12:45:00;Spr;73;6;7.4;74.0
Ehv;Ehs;2025-08-06 12:35:00;2025-08-06 12:39:00;Spr;73;4;2.6;39.0
Vg;Ht;2025-08-06 13:28:00;2025-08-06 13:32:00;Spr;74;4;4.2;63.0
Btl;Vg;2025-08-06 13:22:00;2025-08-06 13:28:00;Spr;74;6;8.0;80.0
Bet;Btl;2025-08-06 13:15:00;2025-08-06 13:22:00;Spr;74;7;9.9;84.9
Ehs;Bet;2025-08-06 13:09:00;2025-08-06 13:15:00;Spr;74;6;7.4;74.0
Ehv;Ehs;2025-08-06 13:06:00;2025-08-06 13:09:00;Spr;74;3;2.6;52.0
Vg;Ht;2025-08-06 13:58:00;2025-08-06 14:02:00;Spr;75;4;4.2;63.0
Btl;Vg;2025-08-06 13:52:00;2025-08-06 13:58:00;Spr;75;6;8.0;80.0
Bet;Btl;2025-08-06 13:45:00;2025-08-06 13:52:00;Spr;75;7;9.9;84.9
Ehs;Bet;2025-08-06 13:39:00;2025-08-06 13:45:00;Spr;75;6;7.4;74.0
Ehv;Ehs;2025-08-06 13:36:00;2025-08-06 13:39:00;Spr;75;3;2.6;52.0
Vg;Ht;2025-08-06 14:28:00;2025-08-06 14:32:00;Spr;76;4;4.2;63.0
Btl;Vg;2025-08-06 14:22:00;2025-08-06 14:28:00;Spr;76;6;8.0;80.0
Bet;Btl;2025-08-06 14:15:00;2025-08-06 14:22:00;Spr;76;7;9.9;84.9
Ehs;Bet;2025-08-06 14:09:00;2025-08-06 14:15:00;Spr;76;6;7.4;74.0
Ehv;Ehs;2025-08-06 14:06:00;2025-08-06 14:09:00;Spr;76;3;2.6;52.0
Btl;Vg;2025-08-06 14:53:00;2025-08-06 14:59:00;Spr;77;6;8.0;80.0
Bet;Btl;2025-08-06 14:45:00;2025-08-06 14:51:00;Spr;77;6;9.9;99.0
Ehs;Bet;2025-08-06 14:39:00;2025-08-06 14:45:00;Spr;77;6;7.4;74.0
Ehv;Ehs;2025-08-06 14:36:00;2025-08-06 14:39:00;Spr;77;3;2.6;52.0
Bet;Btl;2025-08-06 12:30:00;2025-08-06 12:37:00;Spr;78;7;9.9;84.9
Ehs;Bet;2025-08-06 12:24:00;2025-08-06 12:30:00;Spr;78;6;7.4;74.0
