code;name_long;country;type
LGL;Glons;B;stoptreinstation
GS;Goes;NL;stoptreinstation
GO;Goor;NL;stoptreinstation
TGO;Göppingen;D;sneltreinstation
GR;Gorinchem;NL;knooppuntStoptreinstation
HOJE;Göteborg Central;S;intercitystation
GD;Gouda;NL;knooppuntIntercitystation
GDG;Gouda Goverwelle;NL;stoptreinstation
GBG;Gramsbergen;NL;stoptreinstation
GK;Grijpskerk;NL;stoptreinstation
G;Gronau (Westf.);D;knooppuntStoptreinstation
GN;Groningen;NL;knooppuntIntercitystation
GERP;Groningen Europapark;NL;stoptreinstation
GNN;Groningen Noord;NL;stoptreinstation
GW;Grou-Jirnsum;NL;stoptreinstation
MGZB;Günzburg;D;sneltreinstation
HLM;Haarlem;NL;knooppuntIntercitystation
HLMS;Haarlem Spaarnwoude;NL;stoptreinstation
HAGEN;Hagen Hbf;D;knooppuntSneltreinstation
HWZB;Halfweg-Zwanenburg;NL;stoptreinstation
HAMM;Hamm (Westf.);D;knooppuntStoptreinstation
HANN;Hannover Hbf;D;megastation
HDB;Hardenberg;NL;sneltreinstation
HD;Harderwijk;NL;knooppuntStoptreinstation
HBZM;Hardinxveld Blauwe Zoom;NL;stoptreinstation
GND;Hardinxveld-Giessendam;NL;stoptreinstation
HRN;Haren;NL;stoptreinstation
HLG;Harlingen;NL;stoptreinstation
HLGH;Harlingen Haven;NL;stoptreinstation
FHS;Hasselt;B;stoptreinstation
HK;Heemskerk;NL;stoptreinstation
HAD;Heemstede-Aerdenhout;NL;intercitystation
HR;Heerenveen;NL;intercitystation
HRY;Heerenveen IJsstadion;NL;facultatiefStation
HWD;Heerhugowaard;NL;knooppuntStoptreinstation
HRL;Heerlen;NL;knooppuntIntercitystation
HRLW;Heerlen Woonboulevard;NL;stoptreinstation
HZE;Heeze;NL;stoptreinstation
MID;Heide (B);B;stoptreinstation
HLO;Heiloo;NL;stoptreinstation
HNO;Heino;NL;stoptreinstation
HM;Helmond;NL;knooppuntIntercitystation
HMH;Helmond 't Hout;NL;stoptreinstation
HMBV;Helmond Brandevoort;NL;stoptreinstation
HMBH;Helmond Brouwhuis;NL;stoptreinstation
LKM;Hemiksem;B;stoptreinstation
HMN;Hemmen-Dodewaard;NL;stoptreinstation
HGL;Hengelo;NL;knooppuntIntercitystation
HGLG;Hengelo Gezondheidspark;NL;stoptreinstation
HGLO;Hengelo Oost;NL;stoptreinstation
LHS;Herstal;B;stoptreinstation
HZ;Herzogenrath;D;stoptreinstation
HIL;Hillegom;NL;stoptreinstation
HVS;Hilversum;NL;knooppuntIntercitystation
HVSM;Hilversum Media Park;NL;stoptreinstation
HVSP;Hilversum Sportpark;NL;stoptreinstation
HNP;Hindeloopen;NL;stoptreinstation
FOE;Hoboken-Polder;B;stoptreinstation
HB;Hoensbroek;NL;stoptreinstation
HVL;Hoevelaken;NL;stoptreinstation
HOR;Hollandsche Rading;NL;stoptreinstation
HON;Holten;NL;stoptreinstation
EHZW;Holzwickede;D;stoptreinstation
HFD;Hoofddorp;NL;stoptreinstation
HGV;Hoogeveen;NL;stoptreinstation
HGZ;Hoogezand-Sappemeer;NL;knooppuntStoptreinstation
HKS;Hoogkarspel;NL;stoptreinstation
HN;Hoorn;NL;knooppuntIntercitystation
HNK;Hoorn Kersenboogerd;NL;stoptreinstation
HOPF;Hopfgarten;A;stoptreinstation
HRT;Horst-Sevenum;NL;stoptreinstation
HTN;Houten;NL;knooppuntStoptreinstation
HTNC;Houten Castellum;NL;stoptreinstation
SGL;Houthem-St. Gerlach;NL;stoptreinstation
HDG;Hurdegaryp;NL;stoptreinstation
IJT;IJlst;NL;stoptreinstation
INNSB;Innsbruck Hbf;A;knooppuntIntercitystation
JENBAC;Jenbach;A;stoptreinstation
KN;Kaldenkirchen;D;stoptreinstation
FKTH;Kalmthout;B;stoptreinstation
KPN;Kampen;NL;stoptreinstation
KPNZ;Kampen Zuid;NL;stoptreinstation
BZL;Kapelle-Biezelinge;NL;stoptreinstation
LKP;Kapellen;B;stoptreinstation
KARLSR;Karlsruhe Hbf;D;intercitystation
KRD;Kerkrade Centrum;NL;knooppuntStoptreinstation
KTR;Kesteren;NL;stoptreinstation
GKT;Kijkuit;B;stoptreinstation
KBK;Klarenbeek;NL;stoptreinstation
KMR;Klimmen-Ransdaal;NL;stoptreinstation
KKO;Koblenz Hbf;D;intercitystation
KOLN;Köln Hbf;D;megastation
KKD;Köln Messe/Deutz;D;megastation
KKW;Köln West;D;intercitystation
KKERP;Köln-Ehrenfeld;D;stoptreinstation
KKM;Köln-Mülheim;D;intercitystation
KZ;Koog aan de Zaan;NL;stoptreinstation
KMW;Koudum-Molkwerum;NL;stoptreinstation
ODENS;Københavns Lufthavn St;DK;intercitystation
KBD;Krabbendijke;NL;stoptreinstation
KMA;Krommenie-Assendelft;NL;stoptreinstation
KW;Kropswolde;NL;stoptreinstation
KRG;Kruiningen-Yerseke;NL;stoptreinstation
KUFST;Kufstein;A;intercitystation
ZLW;Lage Zwaluwe;NL;knooppuntStoptreinstation
LG;Landgraaf;NL;knooppuntStoptreinstation
LANDRY;Landry;F;intercitystation
